,Hypertension,Diabetes,Heartproblems,Stroke
2010,54.2,4.9,14.8,1.0
2011,54.20961038961039,4.9012987012987015,14.799740259740261,1.0005194805194806
2012,54.24805194805195,4.906493506493507,14.7987012987013,1.0025974025974025
2013,54.334545454545456,4.918181818181819,14.796363636363637,1.0072727272727273
2014,54.48831168831169,4.93896103896104,14.792207792207792,1.0155844155844156
2015,54.72857142857143,4.9714285714285715,14.785714285714286,1.0285714285714285
2016,55.07454545454546,5.0181818181818185,14.776363636363637,1.0472727272727274
2017,55.54545454545455,5.081818181818182,14.763636363636364,1.0727272727272728
2018,56.16051948051948,5.164935064935065,14.747012987012987,1.1059740259740258
2019,56.93896103896104,5.27012987012987,14.725974025974025,1.148051948051948
2020,57.9,5.4,14.7,1.2
2021,58.86103896103896,5.5298701298701305,14.674025974025973,1.251948051948052
2022,59.822077922077916,5.65974025974026,14.648051948051947,1.3038961038961039
2023,60.783116883116875,5.78961038961039,14.62207792207792,1.3558441558441556
2024,61.74415584415584,5.91948051948052,14.596103896103894,1.4077922077922076
2025,62.7051948051948,6.04935064935065,14.570129870129868,1.4597402597402596
2026,63.66623376623376,6.179220779220779,14.544155844155842,1.5116883116883115
2027,64.62727272727271,6.3090909090909095,14.518181818181814,1.5636363636363635
2028,65.58831168831168,6.43896103896104,14.492207792207788,1.6155844155844155
2029,66.54935064935063,6.568831168831169,14.466233766233762,1.6675324675324674
2030,67.5103896103896,6.698701298701299,14.440259740259735,1.7194805194805194
